,saliency,display_index,word_length,sentence_length,relative_word_frequency,lemma_polarity,normalized_saliency_rank,word_position,human_importance_rating,capitalization,dependency_relation,sentence_id,worker_id,visualization_condition,condition_order,completion_time_ms
0,0.105,0,1,6,0.10789649946520877,0.0,0.5,3,1,other,punct,reviews-152281-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,saliency,saliency__bars__saliency-corrected,26856
1,0.20199999999999999,1,6,10,9.373284651113344e-06,0.0,0.2,6,3,other,obj,reviews-011806-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,saliency,saliency__bars__saliency-corrected,8049
2,0.371,2,5,6,0.0,0.64445,0.3333333333333333,1,4,first_upper,amod,reviews-286172-0002,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,saliency,saliency__bars__saliency-corrected,6903
3,0.172,3,5,5,8.812399392151563e-05,0.09817000000000001,0.6,4,5,other,nmod,reviews-252791-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,saliency,saliency__bars__saliency-corrected,9080
4,0.379,4,1,3,0.0,0.0,0.6666666666666666,2,2,all_upper,flat,reviews-216281-0008,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,saliency,saliency__bars__saliency-corrected,6755
5,0.00925,5,3,9,8.91822679950284e-05,0.0,1.0,6,7,other,root,reviews-058878-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,saliency,saliency__bars__saliency-corrected,6916
6,0.0992,6,10,9,0.00015595936203368588,0.0,0.4444444444444444,8,7,other,parataxis,reviews-362073-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,saliency,saliency__bars__saliency-corrected,18720
7,0.669,7,3,3,0.0,-0.38925,0.3333333333333333,1,1,first_upper,advmod,reviews-341750-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,saliency,saliency__bars__saliency-corrected,5600
8,0.10099999999999999,8,7,4,0.0002163716934302164,0.04265,0.5,2,4,other,amod,reviews-178726-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,saliency,saliency__bars__saliency-corrected,5195
9,0.0571,9,2,3,0.05288095765216515,0.0,1.0,2,4,other,case,reviews-107608-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,saliency,saliency__bars__saliency-corrected,4162
